Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
8857430711,"Apr 9, 2023, 1:28:58 AM",Vadipati,Ride,"",12127,49.19,,,true,,furry,activities/8857430711.gpx,,,12127.0,5160.0,49195.55859375,16.43994140625,9.53402328491211,68.05416870117188,69.8375015258789,130.10000610351562,180.89999389648438,11.219972610473633,-0.005894841160625219,,,,,,,,128.64376831054688,740.1390991210938,,,,,,,,,4.0,,,,,0.0,57.0,1.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,4.05669641494751,0.0,,,,,,,,,,,,,,,,,""
8972134991,"Apr 28, 2023, 12:16:17 PM",Melur route,Ride,Melur,3546,15.00,,,false,,furry,activities/8972134991.gpx,,,3546.0,2980.0,15005.91015625,9.854101181030273,5.0355401039123535,16.544483184814453,53.7528190612793,135.39999389648438,173.10000610351562,6.434990406036377,-0.2412382811307907,,,,,,,,129.5152587890625,430.3403625488281,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,4.231785297393799,0.0,,,,,,,,,,,,,,,,,""
8981225056,"Apr 30, 2023, 12:16:10 AM",Madurai clean ride,Ride,Madurai city- thepakulam,12546,20.24,,,false,,furry,activities/8981225056.gpx,,,12546.0,3530.0,20241.08984375,10.695898056030273,5.734019756317139,60.70897674560547,59.325340270996094,128.0,143.6999969482422,22.742919921875,0.0019761782605201006,,,,,,,,159.8380889892578,629.1143798828125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,1.6133500337600708,182.89999389648438,,,,,,,,,,,,,,,,,media/e43c3303-353b-4a7e-9590-3ba46cb2a56e.jpg|media/6664f3ca-5ff0-4a5f-8018-1fdbbaa31b08.mp4|media/3445e803-995a-4c38-a415-f21b96514596.jpg
8988114631,"May 1, 2023, 5:58:48 AM",Sandy's home,Ride,Area ,5734,7.69,,,false,,furry,activities/8988114631.gpx,,,5734.0,1904.0,7693.6396484375,10.623998641967773,4.040777206420898,40.7784538269043,41.598453521728516,129.10000610351562,140.89999389648438,8.412189483642578,-0.005199099890887737,,,,,,,,136.5940704345703,289.9837646484375,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,1.341757893562317,870.4000244140625,,,,,,,,,,,,,,,,,""
9000353778,"May 3, 2023, 2:02:32 AM",Morning Ride,Ride,Madurai city-thepakulam,2862,11.33,,,false,,furry,activities/9000353778.gpx,,,2862.0,2382.0,11331.75,10.702001571655273,4.757241725921631,34.47304153442383,27.522785186767578,128.0,142.89999389648438,15.58979320526123,0.07236304879188538,,,,,,,,162.05905151367188,430.4175109863281,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,3.959381580352783,0.0,,,,,,,,,,,,,,,,,""
9033529961,"May 8, 2023, 11:14:20 AM",Alagar kovil,Ride,"",8313,35.43,,,false,,furry,activities/9033529961.gpx,,,8313.0,6648.0,35431.91015625,10.360156059265137,5.329709529876709,159.07101440429688,162.85101318359375,129.10000610351562,214.0,12.540822982788086,-0.0014111573109403253,,,,,,,,139.19581604003906,1031.7930908203125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,4.262228965759277,8928.5,,,,,,,,,,,,,,,,,media/45bea472-5a51-484f-8ca8-65099215769b.jpg
9051960847,"May 11, 2023, 12:16:23 PM",Afternoon Ride,Ride,Madurai city ,6403,4.84,,,false,,furry,activities/9051960847.gpx,,,6403.0,1209.0,4846.919921875,10.722004890441895,4.009032249450684,17.040000915527344,10.819999694824219,129.10000610351562,143.6999969482422,30.81008529663086,0.012378995306789875,,,,,,,,105.03498077392578,141.59083557128906,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,15696980.0,,,,,,,,,,,0.0,0.7569764256477356,298.5,,,,,,,,,,,,,,,,,""
9142619426,"May 23, 2023, 10:44:39 AM",Afternoon Ride,Ride,Madurai city ,5018,20.87,,,false,,furry,activities/9142619426.gpx,,,5018.0,3524.0,20873.939453125,10.7021484375,5.923365116119385,73.57362365722656,71.6664810180664,129.10000610351562,147.8000030517578,15.238877296447754,0.0028743974398821592,,,,,,,,170.47496032714844,669.8404541015625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1684835968.0,1.0,37.81999969482422,41.61000061035156,21.65999984741211,0.38999998569488525,1007.510009765625,2.0899999141693115,4.75,165.0,0.0,1684801536.0,1684846976.0,0.125,15696980.0,,0.44999998807907104,5.0,0.18000000715255737,25718.2109375,5.0,,,,,0.0,4.1598124504089355,2685.699951171875,,,,,,,,,,,,,,,,,""
9147221441,"May 27, 2023, 1:59:43 AM",Morning Ride,Ride,Varichur,2890,15.52,,,false,,nothing ,activities/9147221441.gpx,,,2890.0,2691.0,15523.2900390625,9.094006538391113,5.768595218658447,49.10202407836914,43.84732437133789,114.0,137.0,8.498513221740723,0.03092128038406372,,,,,,,,122.1358871459961,366.4644470214844,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1685149184.0,1.0,26.600000381469727,29.450000762939453,22.469999313354492,0.7799999713897705,1009.3599853515625,1.5299999713897705,3.299999952316284,285.0,0.0,1685147136.0,1685192576.0,0.25,14687393.0,,0.5699999928474426,5.0,0.019999999552965164,23624.830078125,0.0,,,,,0.0,5.371380805969238,0.0,,,,,,,,,,,,,,,,,""
9198122875,"Jun 4, 2023, 1:08:25 AM","""Decathlon ride""",Ride,"thiruvathavur
First time where i found another buddy in this ride",6108,22.75,,,false,,furry,activities/9198122875.gpx,,,6108.0,4688.0,22757.990234375,9.795702934265137,4.854520320892334,117.13206481933594,115.16831970214844,124.0,147.8000030517578,14.83060073852539,0.0052728732116520405,,,,,,,,121.57347106933594,635.4791259765625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1685840384.0,2.0,26.760000228881836,29.610000610351562,22.459999084472656,0.7699999809265137,1007.8400268554688,1.6399999856948853,3.200000047683716,283.0,0.0,1685838336.0,1685883904.0,0.625,15696980.0,,0.6499999761581421,5.0,0.5899999737739563,23368.490234375,0.0,,,,,0.0,3.7259316444396973,10635.7001953125,,,,,,,,,,,,,,,,,media/505f9f71-a97f-4241-a708-4ffc3cca85ef.jpg
